transaction_id,vendor_id,vendor_name,gstin,department,category,invoice_date,due_date,payment_date,amount,has_purchase_order,invoice_number,approved_by,status
TXN0111,V003,Wipro Technologies,29AABCW9012C3Z1,IT,Travel,2024-07-14,2024-08-13,2024-08-09,311756.63,True,INV-711484,Priya Sharma,Paid
TXN0112,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Legal,Consulting,2024-08-23,2024-09-22,2024-09-21,131386.72,True,INV-587853,Amit Patel,Disputed
TXN0113,V003,Wipro Technologies,29AABCW9012C3Z1,IT,Maintenance,2024-06-25,2024-07-25,2024-07-20,493887.59,True,INV-544920,Amit Patel,Pending
TXN0114,V005,Tech Mahindra,27AABCT7890E5Z7,Finance,Maintenance,2024-09-04,2024-10-04,2024-09-27,57793.37,True,INV-702733,Amit Patel,Paid
TXN0115,V001,Tata Consultancy Services,27AABCT1234A1Z5,Legal,Maintenance,2024-05-20,2024-06-19,2024-06-05,9008.49,True,INV-880841,Ravi Kumar,Disputed
TXN0116,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Operations,Hardware,2024-11-06,2024-12-06,2024-12-02,401956.32,True,INV-751051,Amit Patel,Paid
TXN0117,V002,Infosys Limited,29AABCI5678B2Z3,Legal,Office Supplies,2024-01-21,2024-02-20,2024-02-12,157921.78,False,INV-482584,Priya Sharma,Paid
TXN0118,V005,Tech Mahindra,27AABCT7890E5Z7,Operations,Office Supplies,2024-07-31,2024-08-30,2024-08-27,91941.83,True,INV-483629,Amit Patel,Paid
TXN0119,V005,Tech Mahindra,27AABCT7890E5Z7,HR,Consulting,2024-06-22,2024-07-22,2024-07-14,403095.11,True,INV-247594,Priya Sharma,Pending
TXN0120,V009,Shell India,07AABCS1234F6Z2,Operations,Software,2024-07-21,2024-08-20,2024-08-11,11889.73,True,INV-486490,Amit Patel,Disputed
TXN0121,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Legal,Consulting,2024-02-25,2024-03-26,2024-03-18,339044.09,False,INV-688678,Amit Patel,Disputed
TXN0122,V004,HCL Technologies,06AABCH3456D4Z9,Legal,Software,2024-11-21,2024-12-21,2024-12-06,412808.4,True,INV-780776,Sneha Reddy,Paid
TXN0123,V003,Wipro Technologies,29AABCW9012C3Z1,IT,Software,2024-06-04,2024-07-04,2024-07-02,497984.05,False,INV-663658,Priya Sharma,Pending
TXN0124,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Operations,Office Supplies,2024-12-22,2025-01-21,2025-01-14,473257.17,True,INV-861894,Priya Sharma,Pending
TXN0125,V002,Infosys Limited,29AABCI5678B2Z3,HR,Travel,2024-07-27,2024-08-26,2024-08-21,469831.27,False,INV-488528,Priya Sharma,Pending
TXN0126,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Finance,Consulting,2024-02-20,2024-03-21,2024-03-15,490559.22,True,INV-776149,Amit Patel,Paid
TXN0127,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Operations,Hardware,2024-03-03,2024-04-02,2024-03-19,474760.34,True,INV-794963,Priya Sharma,Disputed
TXN0128,V001,Tata Consultancy Services,27AABCT1234A1Z5,IT,Consulting,2024-05-04,2024-06-03,2024-05-21,494466.35,True,INV-171942,Priya Sharma,Disputed
TXN0129,V004,HCL Technologies,06AABCH3456D4Z9,Finance,Consulting,2024-03-16,2024-04-15,2024-04-05,395378.66,False,INV-251716,Priya Sharma,Disputed
TXN0130,V005,Tech Mahindra,27AABCT7890E5Z7,Finance,Software,2024-12-04,2025-01-03,2024-12-31,433891.7,False,INV-928358,Priya Sharma,Disputed
TXN0131,V006,Reliance Industries,27AAACR5055K1ZT,IT,Hardware,2024-05-15,2024-06-14,2024-06-02,30937.51,True,INV-219169,Ravi Kumar,Pending
TXN0132,V008,Fraudulent Vendor A,27AABCT1234A1Z5,Operations,Travel,2024-10-30,2024-11-29,2024-11-20,58981.73,True,INV-744986,Ravi Kumar,Disputed
TXN0133,V005,Tech Mahindra,27AABCT7890E5Z7,HR,Office Supplies,2024-01-16,2024-02-15,2024-02-07,35108.58,True,INV-546980,Ravi Kumar,Pending
TXN0134,V008,Fraudulent Vendor A,27AABCT1234A1Z5,IT,Software,2024-06-13,2024-07-13,2024-07-11,306107.22,True,INV-754644,Amit Patel,Pending
TXN0135,V010,Siemens India,27AABCS5678G7Z4,Marketing,Consulting,2024-08-20,2024-09-19,2024-09-12,255247.78,False,INV-835869,Ravi Kumar,Disputed
TXN0136,V004,HCL Technologies,06AABCH3456D4Z9,HR,Maintenance,2024-04-26,2024-05-26,2024-05-12,209837.72,True,INV-536196,Ravi Kumar,Paid
TXN0137,V007,HDFC Bank Ltd,27AAHCH4118H1ZK,Operations,Office Supplies,2024-05-10,2024-06-09,2024-06-06,190279.01,True,INV-597305,Ravi Kumar,Paid
TXN0138,V002,Infosys Limited,29AABCI5678B2Z3,IT,Maintenance,2024-02-19,2024-03-20,2024-03-14,373571.54,True,INV-683397,Ravi Kumar,Disputed
TXN0139,V009,Shell India,07AABCS1234F6Z2,Marketing,Consulting,2024-12-09,2025-01-08,2025-01-02,65504.49,True,INV-886730,Sneha Reddy,Paid
TXN0140,V005,Tech Mahindra,27AABCT7890E5Z7,Marketing,Consulting,2024-06-29,2024-07-29,2024-07-20,56282.28,True,INV-788637,Sneha Reddy,Paid
TXN0141,V002,Infosys Limited,29AABCI5678B2Z3,Operations,Travel,2024-07-07,2024-08-06,2024-08-01,61868.23,True,INV-946432,Sneha Reddy,Disputed
TXN0142,V010,Siemens India,27AABCS5678G7Z4,Marketing,Office Supplies,2024-11-25,2024-12-25,2024-12-15,280586.18,True,INV-969752,Amit Patel,Paid
TXN0143,V003,Wipro Technologies,29AABCW9012C3Z1,Operations,Office Supplies,2024-06-07,2024-07-07,2024-07-01,461161.07,False,INV-250210,Sneha Reddy,Paid
TXN0144,V003,Wipro Technologies,29AABCW9012C3Z1,Legal,Office Supplies,2024-01-16,2024-02-15,2024-02-06,50420.05,True,INV-540226,Sneha Reddy,Paid
TXN0145,V003,Wipro Technologies,29AABCW9012C3Z1,Operations,Consulting,2024-06-15,2024-07-15,2024-07-05,389533.63,True,INV-155164,Priya Sharma,Paid
TXN0146,V010,Siemens India,27AABCS5678G7Z4,IT,Office Supplies,2024-02-11,2024-03-12,2024-03-01,139690.91,True,INV-736565,Sneha Reddy,Pending
TXN0147,V005,Tech Mahindra,27AABCT7890E5Z7,Finance,Travel,2024-02-28,2024-03-29,2024-03-27,175860.56,True,INV-811444,Sneha Reddy,Disputed
TXN0148,V005,Tech Mahindra,27AABCT7890E5Z7,IT,Hardware,2024-07-21,2024-08-20,2024-08-19,492300.6,False,INV-416061,Priya Sharma,Paid
TXN0149,V005,Tech Mahindra,27AABCT7890E5Z7,Operations,Consulting,2024-03-02,2024-04-01,2024-03-20,8826.3,True,INV-235461,Sneha Reddy,Disputed
TXN0150,V004,HCL Technologies,06AABCH3456D4Z9,Marketing,Travel,2024-12-08,2025-01-07,2025-01-05,404069.09,True,INV-878086,Ravi Kumar,Pending
TXN0151,V001,Tata Consultancy Services,27AABCT1234A1Z5,HR,Software,2024-06-09,2024-07-09,2024-09-23,500000.0,True,INV-403578,Ravi Kumar,Pending
TXN0152,V001,Tata Consultancy Services,27AABCT1234A1Z5,Operations,Hardware,2024-11-12,2024-12-12,2024-11-30,232747.97,True,INV-192410,Sneha Reddy,Paid
TXN0153,V004,HCL Technologies,06AABCH3456D4Z9,HR,Travel,2024-07-24,2024-08-23,2024-08-16,264361.46,True,INV-882033,Amit Patel,Paid
TXN0154,V006,Reliance Industries,27AAACR5055K1ZT,Finance,Software,2024-09-18,2024-10-18,2024-10-09,318446.21,True,INV-913934,Amit Patel,Paid
TXN0155,V003,Wipro Technologies,29AABCW9012C3Z1,Finance,Software,2024-03-15,2024-04-14,2024-04-11,131704.27,True,INV-897143,Ravi Kumar,Paid
TXN0156,V008,Fraudulent Vendor A,27AABCT1234A1Z5,HR,Travel,2024-10-23,2024-11-22,2024-11-07,227208.1,True,INV-774225,Amit Patel,Paid
TXN0157,V003,Wipro Technologies,29AABCW9012C3Z1,HR,Software,2024-08-28,2024-09-27,2024-09-22,223892.99,True,INV-720148,Ravi Kumar,Paid
TXN0158,V009,Shell India,07AABCS1234F6Z2,IT,Consulting,2024-08-24,2024-09-23,2024-09-22,228697.36,True,INV-401022,Ravi Kumar,Paid
TXN0159,V010,Siemens India,27AABCS5678G7Z4,Marketing,Travel,2024-07-15,2024-08-14,2024-08-05,234042.27,True,INV-874814,Ravi Kumar,Pending
TXN0160,V010,Siemens India,27AABCS5678G7Z4,Legal,Hardware,2024-06-13,2024-07-13,2024-07-04,304477.89,True,INV-164879,Sneha Reddy,Paid
